Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6720736165	13.6724672318	-0.1791123599
0.6720851828	13.7088899612	-0.1836678088
0.6720967678	13.7090578079	-0.1836888343
0.6721083341	13.7418241501	-0.1877712458
0.6721199247	13.7449598312	-0.1881611347
0.6721314910	13.7735567093	-0.1917107552
0.6721430767	13.7809839249	-0.1926308572
0.6721546430	13.8038196564	-0.1954549551
0.6721662114	13.8183670044	-0.1972502619
0.6721777776	13.8445978165	-0.2004802972
0.6721893618	13.8520832062	-0.2014002651
0.6722009281	13.8776569366	-0.2045377344
0.6722124998	13.9043731689	-0.2078058124
0.6722240889	13.9203376770	-0.2097539753
0.6722356495	13.9330902100	-0.2113078684
0.6722472389	13.9549331665	-0.2139640898
0.6722588131	13.9643898010	-0.2151121199
0.6722703798	13.9892416000	-0.2181233615
0.6722819417	14.0179176331	-0.2215877175
0.6722935315	14.0363750458	-0.2238117307
0.6723051022	14.0608615875	-0.2267551720
0.6723166683	14.0757694244	-0.2285432667
0.6723282564	14.0986757278	-0.2312849611
0.6723398227	14.1170396805	-0.2334780097
0.6723513960	14.1471385956	-0.2370627671
0.6723629623	14.1491327286	-0.2372998595
0.6723745451	14.1545286179	-0.2379411459
0.6723861115	14.1848125458	-0.2415329069
0.6723976815	14.2179517746	-0.2454495281
0.6724092709	14.2330999374	-0.2472351342
0.6724208394	14.2599020004	-0.2503869832
0.6724324057	14.2783651352	-0.2525527477
0.6724440020	14.3080081940	-0.2560207248
0.6724555703	14.3208932877	-0.2575246394
0.6724671288	14.3524799347	-0.2612021863
0.6724787182	14.3669328690	-0.2628806829
0.6724902834	14.3968858719	-0.2663505971
0.6725018521	14.3986301422	-0.2665522993
0.6725134417	14.4243984222	-0.2695276439
0.6725250106	14.4251995087	-0.2696200013
0.6725365834	14.4493122101	-0.2723963559
0.6725481522	14.4542980194	-0.2729694843
0.6725597240	14.4842014313	-0.2764002383
0.6725712926	14.4818859100	-0.2761349380
0.6725828820	14.5054149628	-0.2788271308
0.6725944483	14.5090007782	-0.2792367935
0.6726060147	14.5356016159	-0.2822708488
0.6726176040	14.5364742279	-0.2823702395
0.6726291785	14.5611228943	-0.2851733267
0.6726407448	14.5524930954	-0.2841928303
0.6726523134	14.5725307465	-0.2864680290
0.6726639070	14.5634517670	-0.2854377329
0.6726754759	14.5860376358	-0.2879988849
0.6726870422	15.4425516129	-0.3805384040
0.6726986154	14.6628818512	-0.2966647744
0.6727102052	14.7387800217	-0.3051518798
0.6727217629	14.7925615311	-0.3111226857
0.6727333315	14.8715887070	-0.3198319077
0.6727449256	14.9147405624	-0.3245553672
0.6727564975	14.9375753403	-0.3270457983
0.6727680730	14.9605436325	-0.3295443952
0.6727796393	14.9664068222	-0.3301813006
0.6727912158	14.9992370605	-0.3337393403
0.6728027824	15.0062208176	-0.3344945610
0.6728143609	15.0418634415	-0.3383398652
0.6728259228	15.0571699142	-0.3399865627
0.6728375050	15.0915079117	-0.3436704576
0.6728490736	15.0947780609	-0.3440205753
0.6728606525	15.1283721924	-0.3476099074
0.6728722211	15.1316642761	-0.3479609191
0.6728838021	15.1619768143	-0.3511869907
0.6728953918	15.1662302017	-0.3516387939
0.6729069482	15.2053232193	-0.3557813466
0.6729185226	15.2086153030	-0.3561294377
0.6729300931	15.2431468964	-0.3597724140
0.6729416675	15.2466182709	-0.3601378500
0.6729532448	15.2852487564	-0.3641952276
0.6729648126	15.2918491364	-0.3648867011
0.6729764076	15.3279237747	-0.3686571419
0.6729879740	15.3250808716	-0.3683605492
0.6729995659	15.3646640778	-0.3724818230
0.6730111357	15.3629398346	-0.3723026812
0.6730226861	15.4108362198	-0.3772662282
0.6730342771	15.4119787216	-0.3773842454
0.6730458434	15.4522018433	-0.3815317452
0.6730574097	15.4457960129	-0.3808724880
0.6730689811	15.4851627350	-0.3849167228
0.6730805706	15.4838161469	-0.3847786784
0.6730921368	15.5241394043	-0.3889034986
0.6731037131	15.5269021988	-0.3891853988
0.6731152793	15.5658626556	-0.3931521475
0.6731268535	15.5617485046	-0.3927341104
0.6731384394	15.6022424698	-0.3968406618
0.6731500060	15.6010980606	-0.3967249393
0.6731615750	15.6402463913	-0.4006780386
0.6731731459	15.6415853500	-0.4008129537
0.6731847353	15.6761932373	-0.4042928219
0.6731963037	15.6722068787	-0.4038926661
0.6732078931	15.7105722427	-0.4077365100
0.6732194447	15.7083988190	-0.4075192511
0.6732310141	15.7482805252	-0.4114986658
0.6732426097	15.7505207062	-0.4117216468
0.6732542012	15.7851600647	-0.4151629210
0.6732657453	15.7862949371	-0.4152754545
0.6732773325	15.8183584213	-0.4184485674
0.6732889077	15.8236513138	-0.4189713299
0.6733004743	15.8542261124	-0.4219848812
0.6733120427	15.8652420044	-0.4230681956
0.6733236129	15.8932132721	-0.4258128405
0.6733352042	15.8999958038	-0.4264771342
0.6733467709	15.9291095734	-0.4293227494
0.6733583394	15.9385786057	-0.4302463531
0.6733699081	15.9665937424	-0.4329730272
0.6733814811	15.9797925949	-0.4342547953
0.6733930534	16.0012340546	-0.4363329709
0.6734046274	16.0135250092	-0.4375219047
0.6734162240	16.0395545959	-0.4400348067
0.6734277900	16.0481395721	-0.4408618808
0.6734393676	16.0729141235	-0.4432445765
0.6734509267	16.0888633728	-0.4447748959
0.6734625206	16.1075134277	-0.4465611279
0.6734740717	16.1204605103	-0.4477988482
0.6734856656	16.1435089111	-0.4499979317
0.6734972331	16.1572685242	-0.4513081908
0.6735088253	16.1811466217	-0.4535771906
0.6735203776	16.1994915009	-0.4553161263
0.6735319439	16.2166614532	-0.4569406807
0.6735435192	16.2349853516	-0.4586709440
0.6735551046	16.2536106110	-0.4604260921
0.6735666747	16.2686367035	-0.4618393481
0.6735782473	16.2860774994	-0.4634767175
0.6735898182	16.3033866882	-0.4650988579
0.6736014099	16.3185710907	-0.4665190578
0.6736129732	16.3381004333	-0.4683423638
0.6736245571	16.3545627594	-0.4698761404
0.6736361289	16.3742523193	-0.4717070758
0.6736476890	16.3871974945	-0.4729086161
0.6736592669	16.4082965851	-0.4748632908
0.6736708332	16.4156341553	-0.4755419493
0.6736824251	16.4344463348	-0.4772794843
0.6736939958	16.4500007629	-0.4787133932
0.6737055707	16.4695415497	-0.4805113673
0.6737171617	16.4816589355	-0.4816243649
0.6737287168	16.4975585938	-0.4830824435
0.6737402856	16.5055236816	-0.4838118553
0.6737518622	16.5220279694	-0.4853212535
0.6737634546	16.5357913971	-0.4865779281
0.6737750047	16.5525627136	-0.4881067574
0.6737865784	16.5701084137	-0.4897029698
0.6737981542	16.5868701935	-0.4912251234
0.6738097294	16.5969295502	-0.4921371937
0.6738213079	16.6143207550	-0.4937116206
0.6738328754	16.6266288757	-0.4948240519
0.6738444442	16.6465206146	-0.4966187477
0.6738560594	16.6589813232	-0.4977410138
0.6738676100	16.6794185638	-0.4995781183
0.6738791811	16.6891117096	-0.5004481673
0.6738907537	16.7137584686	-0.5026558638
0.6739023257	16.7232894897	-0.5035080314
0.6739138981	16.7420291901	-0.5051808357
0.6739254686	16.7569847107	-0.5065132380
0.6739370392	16.7788085938	-0.5084537864
0.6739486311	16.7857437134	-0.5090695024
0.6739602168	16.8116016388	-0.5113609433
0.6739717847	16.8209114075	-0.5121843219
0.6739833524	16.8439540863	-0.5142185688
0.6739949186	16.8522109985	-0.5149462223
0.6740064849	16.8796176910	-0.5173569322
0.6740180740	16.8842334747	-0.5177621245
0.6740296283	16.9098281860	-0.5200057030
0.6740412176	16.9168071747	-0.5206162333
0.6740528070	16.9421501160	-0.5228296518
0.6740643502	16.9511642456	-0.5236154199
0.6740759302	16.9767837524	-0.5258445740
0.6740875195	16.9799957275	-0.5261235833
0.6740991019	17.0103721619	-0.5287573338
0.6741106470	17.0134754181	-0.5290259123
0.6741222433	17.0411453247	-0.5314165354
0.6741338152	17.0497074127	-0.5321547985
0.6741453814	17.0774707794	-0.5345437527
0.6741569477	17.0770454407	-0.5345072746
0.6741685302	17.1087989807	-0.5372307301
0.6741800965	17.1097221375	-0.5373098850
0.6741916855	17.1440906525	-0.5402464867
0.6742032433	17.1412506104	-0.5400042534
0.6742148242	17.1719818115	-0.5426215529
0.6742264122	17.1692199707	-0.5423866510
0.6742379655	17.1997623444	-0.5449798703
0.6742495603	17.1996459961	-0.5449700952
0.6742611099	17.2364120483	-0.5480800271
0.6742727032	17.2394065857	-0.5483327508
0.6742842758	17.2727317810	-0.5511398911
0.6742958467	17.2703266144	-0.5509376526
0.6743074171	17.3071899414	-0.5540314317
0.6743189873	17.3039493561	-0.5537601113
0.6743305565	17.3383007050	-0.5566326976
0.6743421717	17.3407402039	-0.5568363667
0.6743537120	17.3730278015	-0.5595258474
0.6743652806	17.3724918365	-0.5594812036
0.6743768649	17.4087696075	-0.5624918342
0.6743884312	17.4059391022	-0.5622573495
0.6744000087	17.4428825378	-0.5653116107
0.6744115780	17.4465942383	-0.5656177402
0.6744231527	17.4795761108	-0.5683329701
0.6744347421	17.4767532349	-0.5681009293
0.6744463099	17.5119609833	-0.5709892511
0.6744578762	17.5127677917	-0.5710552931
0.6744694507	17.5413894653	-0.5733948350
0.6744810237	17.5481987000	-0.5739502907
0.6744926054	17.5730915070	-0.5759775043
0.6745041742	17.5784168243	-0.5764104724
0.6745157498	17.6065196991	-0.5786910653
0.6745273187	17.6112537384	-0.5790743828
0.6745388870	17.6420307159	-0.5815625787
0.6745504764	17.6515522003	-0.5823305249
0.6745620552	17.6723632813	-0.5840064287
0.6745736233	17.6825103760	-0.5848221779
0.6745851973	17.7070751190	-0.5867930651
0.6745967883	17.7178955078	-0.5876594782
0.6746083310	17.7462902069	-0.5899282694
0.6746199200	17.7575645447	-0.5908272266
0.6746315097	17.7807121277	-0.5926691294
0.6746430757	17.7921428680	-0.5935770273
0.6746546281	17.8175239563	-0.5955887437
0.6746662178	17.8298587799	-0.5965644121
0.6746777917	17.8538055420	-0.5984546542
0.6746893636	17.8692474365	-0.5996708870
0.6747009397	17.8818340302	-0.6006607413
0.6747125088	17.8991298676	-0.6020185947
0.6747240857	17.9192390442	-0.6035941839
0.6747356523	17.9304447174	-0.6044706702
0.6747472309	17.9499797821	-0.6059958339
0.6747588222	17.9670715332	-0.6073276997
0.6747703813	17.9794006348	-0.6082868576
0.6747819475	17.9929771423	-0.6093415022
0.6747935361	18.0081043243	-0.6105147600
0.6748051024	18.0247173309	-0.6118010283
0.6748166748	18.0414638519	-0.6130951643
0.6748282414	18.0570945740	-0.6143009663
0.6748398324	18.0698413849	-0.6152827740
0.6748513986	18.0841236115	-0.6163810492
0.6748629673	18.0966358185	-0.6173419356
0.6748745357	18.1118335724	-0.6185072064
0.6748861117	18.1270828247	-0.6196744442
0.6748977028	18.1435012817	-0.6209289432
0.6749092749	18.1525020599	-0.6216156483
0.6749208414	18.1704406738	-0.6229823232
0.6749324236	18.1838817596	-0.6240046620
0.6749439899	18.2001571655	-0.6252404451
0.6749555602	18.2086200714	-0.6258820891
0.6749671284	18.2272529602	-0.6272928715
0.6749787157	18.2378807068	-0.6280962825
0.6749902821	18.2581405640	-0.6296250224
0.6750018548	18.2662849426	-0.6302386522
0.6750134438	18.2831077576	-0.6315043569
0.6750250271	18.3021755219	-0.6329361200
0.6750365728	18.3185501099	-0.6341632009
0.6750481664	18.3264999390	-0.6347582340
0.6750597323	18.3455944061	-0.6361851096
0.6750713259	18.3578891754	-0.6371021867
0.6750828688	18.3747577667	-0.6383585334
0.6750944519	18.3861579895	-0.6392062902
0.6751060323	18.4066276550	-0.6407257318
0.6751176054	18.4124965668	-0.6411607265
0.6751291716	18.4310970306	-0.6425374746
0.6751407535	18.4399757385	-0.6431937218
0.6751523447	18.4554195404	-0.6443335414
0.6751638967	18.4707126617	-0.6454604268
0.6751754633	18.4900913239	-0.6468855739
0.6751870449	18.4964199066	-0.6473503113
0.6751986112	18.5118579865	-0.6484826803
0.6752101929	18.5161132813	-0.6487944126
0.6752217592	18.5367832184	-0.6503068209
0.6752333411	18.5415344238	-0.6506539583
0.6752449305	18.5651893616	-0.6523794532
0.6752564917	18.5655498505	-0.6524057388
0.6752680580	18.5862083435	-0.6539090276
0.6752796508	18.5914077759	-0.6542868614
0.6752912170	18.6078510284	-0.6554802060
0.6753027894	18.6138496399	-0.6559149623
0.6753143554	18.6301002502	-0.6570914984
0.6753259332	18.6306495667	-0.6571311951
0.6753374995	18.6532897949	-0.6587665677
0.6753490896	18.6537017822	-0.6587962508
0.6753606559	18.6766548157	-0.6604500413
0.6753722299	18.6782493591	-0.6605647802
0.6753837962	18.7002296448	-0.6621442437
0.6753953724	18.6997089386	-0.6621069312
0.6754069618	18.7219123840	-0.6636985540
0.6754185284	18.7216205597	-0.6636776328
0.6754300946	18.7431507111	-0.6652173996
0.6754416700	18.7459716797	-0.6654188633
0.6754532360	18.7642993927	-0.6667262912
0.6754648240	18.7644176483	-0.6667346358
0.6754763902	18.7860126495	-0.6682716608
0.6754879723	18.7819366455	-0.6679818630
0.6754995616	18.8057556152	-0.6696737409
0.6755111113	18.8065452576	-0.6697297692
0.6755227010	18.8252353668	-0.6710540652
0.6755342572	18.8279514313	-0.6712462902
0.6755458465	18.8474235535	-0.6726226211
0.6755574186	18.8461112976	-0.6725299358
0.6755689849	18.8731079102	-0.6744335890
0.6755805568	18.8720054626	-0.6743559837
0.6755921461	18.8916797638	-0.6757397652
0.6756037147	18.8926849365	-0.6758104563
0.6756153041	18.9128112793	-0.6772228479
0.6756268472	18.9112606049	-0.6771140695
0.6756384366	18.9345264435	-0.6787431240
