Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6159621816	0.5499948859	3.5332472324
0.6159737537	0.5494105816	3.5335609913
0.6159853226	0.5497662425	3.5333700180
0.6159968934	0.5496680737	3.5334227085
0.6160084615	0.5495873094	3.5334661007
0.6160200531	0.5494505167	3.5335395336
0.6160316212	0.5498141646	3.5333442688
0.6160432163	0.5492151976	3.5336658955
0.6160547615	0.5496543050	3.5334300995
0.6160663507	0.5494678617	3.5335302353
0.6160779167	0.5492138863	3.5336666107
0.6160894840	0.5490367413	3.5337617397
0.6161010554	0.5494798422	3.5335237980
0.6161126419	0.5488973260	3.5338366032
0.6161242117	0.5495530963	3.5334844589
0.6161357775	0.5492742658	3.5336341858
0.6161473578	0.5494385362	3.5335459709
0.6161589313	0.5494833589	3.5335218906
0.6161705008	0.5494229794	3.5335543156
0.6161820766	0.5488240719	3.5338759422
0.6161936657	0.5491086245	3.5337231159
0.6162052318	0.5489537120	3.5338063240
0.6162168246	0.5491836667	3.5336828232
0.6162283721	0.5489150882	3.5338270664
0.6162399612	0.5492156744	3.5336656570
0.6162515304	0.5488821864	3.5338447094
0.6162630962	0.5494229794	3.5335543156
0.6162746675	0.5489301682	3.5338189602
0.6162862567	0.5491916537	3.5336785316
0.6162978254	0.5489661098	3.5337996483
0.6163093914	0.5494123697	3.5335600376
0.6163209658	0.5486993194	3.5339429379
0.6163325599	0.5490957499	3.5337300301
0.6163441114	0.5493457317	3.5335958004
0.6163556800	0.5492440462	3.5336503983
0.6163672692	0.5494554043	3.5335369110
0.6163788353	0.5494496226	3.5335400105
0.6163904033	0.5491513014	3.5337002277
0.6164019921	0.5497457981	3.5333809853
0.6164135657	0.5500126481	3.5332376957
0.6164251369	0.5496414304	3.5334370136
0.6164367152	0.5491308570	3.5337111950
0.6164482812	0.5490593910	3.5337495804
0.6164598728	0.5489990115	3.5337820053
0.6164714389	0.5489439368	3.5338115692
0.6164830100	0.5490953326	3.5337302685
0.6164945760	0.5493701696	3.5335826874
0.6165061472	0.5491513014	3.5337002277
0.6165177416	0.5495322347	3.5334956646
0.6165292859	0.5488266945	3.5338745117
