Day fraction since midnight on	photometer (mg/L)	photometer (volts)
0.6821977252	5.926531792	1.358599186
0.6822092912	5.933729649	1.356470823
0.6822208577	5.870070934	1.375353813
0.6822324471	5.893416882	1.36841321
0.6822440131	5.875017643	1.373881698
0.6822555793	5.906749725	1.364457488
0.682267169	5.875601769	1.373707891
0.6822787349	5.706876755	1.424375296
0.6822903246	5.659945965	1.438637734
0.6823018905	5.683942795	1.431335688
0.6823134571	5.693818092	1.428336501
0.6823250233	5.706858158	1.424380899
0.6823366128	5.701329708	1.42605722
0.682348179	5.665475369	1.436953545
0.682359768	5.530166626	1.47846663
0.6823713343	5.48336792	1.492970228
0.6823829236	5.373173714	1.527419686
0.6823944787	5.363008976	1.530618668
0.6824060677	5.3960495	1.520233512
0.682417634	5.380439282	1.525135279
0.6824292002	5.319653988	1.544303656
0.6824407668	5.337482452	1.538668156
0.6824523558	5.324954987	1.542626858
0.6824639221	5.310695648	1.547139645
0.6824754886	5.280930996	1.556582451
0.682487078	5.234477043	1.571382165
0.6824986443	5.125640392	1.606356621
0.6825102105	5.122313976	1.607432246
0.6825217998	5.16267395	1.594408512
0.6825333662	5.099375248	1.614860296
0.6825449324	5.028431416	1.637953401
0.6825565214	4.96182394	1.659800768
0.682568088	4.894445419	1.682065964
0.6825796773	4.852934361	1.695866346
0.6825912436	4.852632999	1.695966721
0.6826028099	4.839746952	1.700263739
0.6826143761	4.841347218	1.6997298
0.6826259655	4.819586277	1.706998944
0.6826375317	4.773804665	1.722349525
0.682649098	4.751778126	1.729762793
0.6826606875	4.729501724	1.737278581
0.6826722536	4.664266586	1.759395361
0.6826838429	4.648635387	1.764718533
0.6826954089	4.65265131	1.763350129
0.6827069754	4.631201267	1.770666719
0.6827185417	4.545753479	1.799986482
0.6827301308	4.549347878	1.798747659
0.682741697	4.557320595	1.796001315
0.6827532866	4.542588711	1.801077843
0.682764853	4.501999378	1.815107822
0.6827764192	4.469733715	1.826305747
0.6827879854	4.430580139	1.839948297
0.6827995748	4.359182835	1.864978313
0.682811141	4.366250992	1.862491608
0.6828227304	4.350493431	1.868038297
0.6828342967	4.312565804	1.88142848
0.682845863	4.249720097	1.903740287
0.682857452	4.209566116	1.918077469
0.6828690186	4.223314762	1.913161159
0.6828805848	4.204556942	1.919870496
0.6828921741	4.164851189	1.934118629
0.6829037404	4.176262379	1.930017352
0.6829153066	4.154317379	1.937909126
0.682926896	4.129765511	1.946761012
0.6829384622	4.104814529	1.955781698
0.6829500513	4.05700779	1.973135233
0.6829616178	4.025659561	1.984564424
0.6829731842	3.986694098	1.998826385
0.6829847504	3.976426601	2.002594709
0.6829963397	3.961986542	2.007901669
0.683007906	3.972801924	2.003926039
0.6830194722	3.940282106	2.015894413
0.6830310616	3.921275854	2.022909403
0.6830426279	3.91282773	2.026032209
0.6830541941	3.856566668	2.046903849
0.6830657834	3.823150635	2.059362173
0.6830773497	3.809597015	2.064428568
0.6830889157	3.809545994	2.064447641
0.6831005054	3.752170324	2.085979223
0.6831120716	3.741445303	2.090019226
0.6831236378	3.754127502	2.08524251
0.6831352272	3.682256222	2.112401962
0.6831467934	3.632996559	2.131142139
0.6831583597	3.639904738	2.128507853
0.6831699488	3.672347069	2.116163492
0.6831815153	3.635164261	2.130315304
0.6831931047	3.600272179	2.143648386
0.6832046706	3.570157051	2.15519762
0.6832162372	3.571485281	2.154687405
0.6832278031	3.594101667	2.146011591
0.6832393928	3.593504429	2.146240473
0.6832509591	3.528247595	2.171334267
0.6832625251	3.470740557	2.193598986
0.6832741377	3.414861918	2.215369701
0.6832856806	3.376547813	2.23037529
0.6832972472	3.359780788	2.23696208
0.6833088362	3.316790819	2.253906488
0.6833204028	3.343227863	2.243476868
0.683331969	3.361305952	2.236362457
0.6833435584	3.346154451	2.242324114
0.6833551246	3.367435455	2.233953476
0.6833667137	3.3119452	2.255821466
0.68337828	3.28361702	2.267037153
0.6833898465	3.261992931	2.275622368
0.6834014128	3.194097757	2.302712202
0.6834130022	3.157203913	2.317518473
0.6834245681	3.133455038	2.327081442
0.6834361347	3.123857737	2.330953121
0.683447724	3.156983852	2.317606926
0.6834593134	3.133276463	2.327153444
0.6834708565	3.100602388	2.34035182
0.6834824459	3.056152821	2.358383656
0.6834940118	3.028460264	2.369662762
0.6835055784	3.003898144	2.379695892
0.6835171677	2.977311373	2.390586853
0.6835287455	2.979398489	2.389730692
0.6835403115	2.949782848	2.40189743
0.6835518778	2.942895412	2.404732704
0.6835634674	2.916592598	2.415580273
0.6835750334	2.886866093	2.427877903
0.6835865999	2.88155365	2.430079937
0.6835981893	2.86849618	2.435497761
0.6836097552	2.818633318	2.456259251
0.6836213218	2.789272547	2.468538046
0.6836329109	2.78050518	2.472212315
0.6836444771	2.804990768	2.4619596
0.6836560436	2.813765526	2.458292246
0.6836676327	2.750855446	2.484664679
0.6836791993	2.692342281	2.509359598
0.6836907886	2.720993996	2.497247458
0.6837023546	2.701766014	2.505371571
0.6837139214	2.689282417	2.510655403
0.6837255102	2.666616678	2.520267725
0.6837370767	2.636925221	2.532896042
0.6837486427	2.607384443	2.545501709
0.683760209	2.583821535	2.5555861
0.6837717986	2.558036804	2.566651583
0.6837833646	2.565082789	2.56362462
0.6837949311	2.557382822	2.566932678
0.6838065205	2.55038476	2.569941521
0.6838180867	2.531903982	2.577898741
0.6838296531	2.505964279	2.589095116
0.6838412424	2.4679842	2.605546713
0.6838528086	2.463150501	2.607645512
0.6838643749	2.448428392	2.614044666
0.6838759639	2.418655634	2.627017736
0.6838875302	2.375482798	2.645905972
0.6838990968	2.347820759	2.658055782
0.6839106858	2.345266104	2.659179688
0.6839222523	2.324460983	2.668344975
0.6839338183	2.322317839	2.669290304
0.683945408	2.318828344	2.670830011
0.6839569742	2.323457718	2.668787479
0.6839685402	2.306213141	2.676401138
0.6839801298	2.296038151	2.680900335
0.6839917192	2.269525766	2.692647457
0.6840032855	2.24753356	2.702418089
0.6840148514	2.224697113	2.712589026
0.684026441	2.218477488	2.715363503
0.6840379842	2.183106899	2.731178761
0.6840495733	2.15905261	2.741969585
0.6840611629	2.160825491	2.741173267
0.6840727061	2.18388319	2.730830908
0.6840842954	2.182545424	2.731430292
0.6840958614	2.122029066	2.758634806
0.684107428	2.094988108	2.770849943
0.6841190173	2.087038517	2.774447918
0.6841305835	2.08231616	2.776586771
0.6841421729	2.069864988	2.782231569
0.6841537392	2.040402651	2.795619488
0.6841653055	2.009685993	2.809623957
0.684176872	2.037773371	2.796816349
0.6841884623	2.022011042	2.803998947
0.6842000294	2.006513119	2.811073303
0.6842115966	2.004962206	2.811781883
0.6842231866	1.99403882	2.816776276
0.6842347541	1.979289651	2.823529482
0.6842463212	1.955757141	2.834327221
0.6842579114	1.919679165	2.850936174
0.6842695017	1.871008277	2.873447895
0.6842810458	1.853260279	2.881687164
0.6842926361	1.836467862	2.889497757
0.6843042032	1.835374594	2.890006781
0.6843157704	1.834730387	2.890306711
0.6843273606	1.808271527	2.90264535
0.6843389278	1.821837425	2.896314621
0.6843504946	1.807567	2.902974367
0.6843620851	1.770743728	2.920207977
0.6843736521	1.768703818	2.921164751
0.6843852194	1.789421678	2.911457777
0.6843968096	1.756498575	2.926893711
0.6844083767	1.714604974	2.946617127
0.6844199438	1.658830047	2.973018408
0.684431534	1.637901187	2.982967377
0.6844431011	1.650642633	2.97690773
0.6844546679	1.632843971	2.985374928
0.6844662584	1.607178569	2.997613907
0.6844778252	1.593826294	3.003994942
0.6844893926	1.598020315	3.001989603
