Day fraction since midnight on	photometer (mg/L)	(volts)
0.5936356466	16.33263016	-0.4678321183
0.593647213	16.82923126	-0.512919426
0.5936587793	17.54021645	-0.5732991099
0.5936703686	17.71328545	-0.5872905254
0.5936819349	18.51613045	-0.6487957239
0.5936935012	18.18310547	-0.6239456534
0.5937050906	17.95849419	-0.6066596508
0.5937166569	17.71821594	-0.5876851082
0.5937282231	18.62106323	-0.6564375162
0.5937398125	18.6456604	-0.65821594
0.5937513788	18.82542992	-0.6710677147
0.5937629451	18.89552689	-0.6760100126
0.5937745344	18.80518723	-0.6696334481
0.5937861007	18.2806797	-0.6313218474
0.593797667	18.85559845	-0.673199594
0.5938092564	19.20271111	-0.6972211599
0.5938208227	19.16659546	-0.6947646737
0.593832412	18.92684364	-0.6782057285
0.5938439783	19.31817818	-0.7050091624
0.5938555446	19.7966938	-0.7362421155
0.5938671109	19.90613937	-0.7431557775
0.5938787003	20.44698143	-0.7761160135
0.5938902665	21.24420929	-0.8212351799
0.5939018328	21.36887169	-0.8279368877
0.5939134222	20.90884972	-0.8027402759
0.5939249885	20.54550552	-0.7819103003
0.5939365548	20.4982357	-0.7791382074
0.5939481442	20.1668911	-0.7592934966
0.5939597101	20.0405674	-0.7515336275
0.5939712767	20.21657753	-0.7623158693
0.5939828661	20.12892151	-0.7569724321
0.5939944555	20.15295219	-0.7584425211
0.5940059987	20.40226746	-0.7734653354
0.5940175881	20.31241798	-0.7680991888
0.5940291544	20.25166512	-0.7644402981
0.5940407206	20.67254448	-0.7892888188
0.59405231	20.98839188	-0.8071893454
0.5940638763	21.39649391	-0.8294093013
0.5940754426	21.43228912	-0.8313106894
0.5940870319	21.47794151	-0.8337247372
0.5940985983	21.67760658	-0.8441405892
0.5941101645	22.16321182	-0.8685309887
0.5941217539	22.41546822	-0.8806920648
0.5941333202	22.65414047	-0.8918893933
0.5941448865	22.5933094	-0.8890635967
0.5941564759	22.94519997	-0.9051494002
0.5941680422	23.39045906	-0.9246242642
0.5941796315	23.14197159	-0.9138745666
0.5941911978	22.8734436	-0.9019200206
0.5942027642	22.83045769	-0.8999730945
0.5942143419	22.73164749	-0.8954623938
0.5942259313	22.77653503	-0.8975176215
0.5942374976	22.94950676	-0.9053424597
0.5942490638	23.09467125	-0.9117944837
0.5942606301	23.0548687	-0.9100357294
0.5942722195	23.31035042	-0.9211910367
0.5942837855	23.74005318	-0.9392551184
0.5942953521	24.03196144	-0.9510447383
0.5943069414	23.95023727	-0.9477824569
0.5943185308	23.56045532	-0.9318096042
0.5943300971	23.48597908	-0.9286783338
0.5943416515	23.34183311	-0.9225438833
0.5943532412	23.19729996	-0.9162937999
0.5943648075	23.42030907	-0.9258958101
0.5943763969	23.57079315	-0.9322422147
0.5943879628	24.02340126	-0.9507044554
0.5943995294	24.05875397	-0.9521078467
0.5944111188	24.02879715	-0.9509189725
0.5944226851	24.04512405	-0.9515674114
0.5944342514	24.11648369	-0.9543878436
0.5944458177	24.10796738	-0.9540523887
0.5944574071	24.14420891	-0.9554775953
0.5944689733	24.27508163	-0.9605768323
0.5944805393	24.53064346	-0.9703235626
0.594492129	24.69278336	-0.9763656259
0.5945036953	24.59228325	-0.9726333022
0.5945152612	24.40767097	-0.9656680226
0.5945268597	24.35295868	-0.9635762572
0.5945384121	24.17571068	-0.9567118287
0.5945499986	24.20318794	-0.9577847719
0.5945615649	24.05812836	-0.9520831108
0.5945731312	24.23827362	-0.9591501355
0.5945847205	24.40713882	-0.9656477571
0.5945962869	24.43800354	-0.9668222666
0.5946078531	24.31170654	-0.9619906545
0.5946194425	24.163517	-0.9562345743
0.5946310088	24.07529831	-0.9527627826
0.5946425749	23.95506859	-0.9479761124
0.5946541641	24.09326172	-0.9534724355
0.5946657304	24.30722809	-0.961818099
0.5946772971	24.39509773	-0.9651884437
0.5946888864	24.41822052	-0.9660699368
0.5947004527	24.35214424	-0.9635450244
0.594712019	24.43498611	-0.9667076468
0.5947236083	24.60028458	-0.9729319811
0.5947351746	24.65513992	-0.9749724865
0.594746764	24.79464149	-0.9801061153
0.5947583303	24.7996254	-0.9802880287
0.5947698966	24.74872398	-0.9784251451
0.5947814629	24.7801075	-0.9795749784
0.5947930522	24.82225418	-0.9811128974
0.5948046185	24.81164551	-0.9807264209
0.5948161849	24.80019951	-0.9803090096
0.5948277742	24.91161156	-0.9843497872
0.5948393636	24.86255646	-0.9825767875
0.5948509067	24.95603371	-0.9859470725
0.5948624961	24.93360329	-0.9851415157
0.5948740624	24.76177216	-0.9789036512
0.5948856283	24.81359673	-0.9807975888
0.5948972177	24.6705265	-0.9755426049
0.5949087844	24.46391296	-0.9678051472
0.5949203506	24.41043663	-0.9657734632
0.59493194	24.50298119	-0.9692817926
0.5949435063	24.56300545	-0.9715381861
0.5949550956	24.59715462	-0.972815156
0.594966662	24.5819912	-0.972248733
0.5949782282	24.45172882	-0.9673432708
0.5949897945	24.36146927	-0.9639024734
0.5950013838	24.43375969	-0.966661036
0.5950129733	24.43952942	-0.9668802619
0.5950245395	24.39888763	-0.9653331041
0.5950361058	24.43769455	-0.9668105245
0.5950476721	24.47226906	-0.9681215286
0.5950592384	24.48052406	-0.9684337974
0.5950708274	24.51239777	-0.9696367979
0.5950823941	24.52120972	-0.969968617
0.5950939834	24.4936161	-0.9689284563
0.5951055494	24.48583031	-0.9686343074
0.595117116	24.49701118	-0.9690566063
0.5951286823	24.48898888	-0.9687536955
0.5951402713	24.43127251	-0.966566503
