Day fraction since midnight on	T (s)	Hydraulic Residence Time	pH probe (pH)
0.6149777862	314	0.3110154953	6.58493042
0.6149893477	315	0.3120059905	6.582129002
0.6150009277	316	0.3129964857	6.588039398
0.6150124938	317	0.3139869809	6.583745003
0.6150240802	318	0.3149774761	6.577348709
0.6150356435	319	0.3159679713	6.57610321
0.6150472172	320	0.3169584666	6.580647945
0.6150587954	321	0.3179489618	6.585291863
0.6150703645	322	0.318939457	6.588037014
0.6150819538	323	0.3199299522	6.584692478
0.6150935125	324	0.3209204474	6.585798264
0.6151051046	325	0.3219109426	6.583060741
0.6151166802	326	0.3229014378	6.580252171
0.6151282388	327	0.323891933	6.581691265
0.6151398148	328	0.3248824282	6.575932026
0.6151513838	329	0.3258729234	6.573847771
0.6151629651	330	0.3268634186	6.572844505
0.615174542	331	0.3278539138	6.576218128
0.6151861063	332	0.3288444091	6.575783253
0.6151976844	333	0.3298349043	6.572555542
0.6152092637	334	0.3308253995	6.569852829
0.6152208398	335	0.3318158947	6.564735889
0.6152324087	336	0.3328063899	6.558004379
0.6152439804	337	0.3337968851	6.563563347
0.6152555506	338	0.3347873803	6.56262064
0.6152671335	339	0.3357778755	6.560554504
0.6152787048	340	0.3367683707	6.561122417
0.6152902899	341	0.3377588659	6.557752609
0.6153018531	342	0.3387493611	6.558075905
0.6153134284	343	0.3397398563	6.557137489
0.6153249974	344	0.3407303515	6.554776669
0.6153365682	345	0.3417208468	6.559556961
0.6153481468	346	0.342711342	6.554380894
0.61535973	347	0.3437018372	6.551392078
0.6153712997	348	0.3446923324	6.551781178
0.6153828649	349	0.3456828276	6.546731472
0.6153944476	350	0.3466733228	6.542331696
0.6154060259	351	0.347663818	6.536601543
0.6154175961	352	0.3486543132	6.54063797
0.6154291667	353	0.3496448084	6.54678154
0.6154407492	354	0.3506353036	6.541924
0.6154523101	355	0.3516257988	6.535352707
0.6154638839	356	0.352616294	6.534363747
0.6154754656	357	0.3536067893	6.534937382
0.6154870404	358	0.3545972845	6.525163174
0.6154986098	359	0.3555877797	6.525102139
0.6155101878	360	0.3565782749	6.525656223
0.6155217719	361	0.3575687701	6.521992207
0.6155333353	362	0.3585592653	6.517965317
0.6155449109	363	0.3595497605	6.531928539
0.615556482	364	0.3605402557	6.525152683
0.6155680628	365	0.3615307509	6.517004013
0.615579634	366	0.3625212461	6.523438931
0.6155912099	367	0.3635117413	6.527763844
0.6156027817	368	0.3645022365	6.526953697
0.6156143533	369	0.3654927317	6.516685963
0.615625928	370	0.366483227	6.520845413
0.6156374991	371	0.3674737222	6.519382
0.6156490783	372	0.3684642174	6.514606953
0.6156606661	373	0.3694547126	6.521661282
0.6156722244	374	0.3704452078	6.506906986
0.6156837943	375	0.371435703	6.501385689
0.6156953741	376	0.3724261982	6.503386021
0.6157069418	377	0.3734166934	6.495747089
0.6157185219	378	0.3744071886	6.492096901
0.6157300877	379	0.3753976838	6.494653225
0.6157416709	380	0.376388179	6.49429369
0.615753238	381	0.3773786742	6.492800713
0.6157648235	382	0.3783691694	6.491675854
0.6157763994	383	0.3793596647	6.49033308
0.6157879616	384	0.3803501599	6.488862991
0.6157995469	385	0.3813406551	6.488973141
0.6158111201	386	0.3823311503	6.486543179
0.6158226993	387	0.3833216455	6.482870579
0.6158342641	388	0.3843121407	6.485176563
0.6158458325	389	0.3853026359	6.484890461
0.6158574126	390	0.3862931311	6.480575562
0.6158689782	391	0.3872836263	6.486023903
0.6158805575	392	0.3882741215	6.482513428
0.6158921427	393	0.3892646167	6.475714207
0.6159037069	394	0.3902551119	6.472687244
0.6159152881	395	0.3912456072	6.473249435
0.6159268543	396	0.3922361024	6.469260216
0.6159384413	397	0.3932265976	6.467928886
0.6159500048	398	0.3942170928	6.465735912
0.6159615842	399	0.395207588	6.469577313
0.6159731532	400	0.3961980832	6.471172333
0.6159847381	401	0.3971885784	6.464799404
0.6159963003	402	0.3981790736	6.460567951
0.6160078743	403	0.3991695688	6.457959175
0.6160194465	404	0.400160064	6.459911823
0.6160310281	405	0.4011505592	6.451202393
0.6160425978	406	0.4021410544	6.450488091
0.6160541696	407	0.4031315496	6.451310635
0.6160657449	408	0.4041220449	6.452663899
0.6160773333	409	0.4051125401	6.453649998
0.616088889	410	0.4061030353	6.453734398
0.6161004594	411	0.4070935305	6.44475174
0.6161120423	412	0.4080840257	6.442164421
0.6161236117	413	0.4090745209	6.432307243
0.6161351859	414	0.4100650161	6.428287983
0.6161467721	415	0.4110555113	6.426774979
0.6161583383	416	0.4120460065	6.431791306
0.6161699073	417	0.4130365017	6.436178684
0.6161814837	418	0.4140269969	6.432945252
0.6161930651	419	0.4150174921	6.432231426
0.6162046348	420	0.4160079874	6.427880764
0.6162162076	421	0.4169984826	6.427298546
0.6162277744	422	0.4179889778	6.429866791
0.6162393501	423	0.418979473	6.426503182
0.6162509261	424	0.4199699682	6.423069
0.616262506	425	0.4209604634	6.422524929
0.6162740737	426	0.4219509586	6.417717457
0.6162856531	427	0.4229414538	6.406937599
0.6162972308	428	0.423931949	6.39969635
0.6163087958	429	0.4249224442	6.403912067
0.6163203762	430	0.4259129394	6.40895462
0.6163319418	431	0.4269034346	6.404881954
0.6163435245	432	0.4278939298	6.399526119
0.6163550917	433	0.4288844251	6.396017551
0.6163666778	434	0.4298749203	6.395633698
0.6163782383	435	0.4308654155	6.40031004
0.6163898194	436	0.4318559107	6.397442818
0.6164013925	437	0.4328464059	6.393672943
0.6164129691	438	0.4338369011	6.391893864
0.6164245439	439	0.4348273963	6.390040875
0.616436111	440	0.4358178915	6.38741684
0.6164476851	441	0.4368083867	6.384694576
0.6164592654	442	0.4377988819	6.378617764
0.6164708447	443	0.4387893771	6.388494015
0.6164824192	444	0.4397798723	6.389156818
0.6164939857	445	0.4407703676	6.383376598
0.616505556	446	0.4417608628	6.37371254
0.6165171285	447	0.442751358	6.376963615
0.6165287097	448	0.4437418532	6.377631664
0.6165402831	449	0.4447323484	6.378579617
0.6165518582	450	0.4457228436	6.374062061
0.6165634254	451	0.4467133388	6.370467186
0.6165750051	452	0.447703834	6.366242886
0.6165865816	453	0.4486943292	6.364967823
0.616598148	454	0.4496848244	6.367116928
0.6166097221	455	0.4506753196	6.36899662
0.6166213027	456	0.4516658148	6.370353699
0.6166328909	457	0.45265631	6.368893147
0.6166444464	458	0.4536468053	6.372436047
0.6166560261	459	0.4546373005	6.368435383
0.6166676045	460	0.4556277957	6.362358093
0.6166791642	461	0.4566182909	6.362586975
0.6166907426	462	0.4576087861	6.369710445
0.6167023202	463	0.4585992813	6.367704868
0.6167138898	464	0.4595897765	6.363430977
0.6167254723	465	0.4605802717	6.36189127
0.6167370436	466	0.4615707669	6.362420082
0.6167486099	467	0.4625612621	6.35747242
0.6167601904	468	0.4635517573	6.353205204
0.6167717587	469	0.4645422525	6.353129864
0.6167833389	470	0.4655327478	6.353544712
0.6167949148	471	0.466523243	6.352617264
0.6168065015	472	0.4675137382	6.351675034
0.6168180626	473	0.4685042334	6.354459286
0.6168296353	474	0.4694947286	6.35747242
0.6168412046	475	0.4704852238	6.35297823
0.6168527847	476	0.471475719	6.354881287
0.6168643605	477	0.4724662142	6.353901863
0.6168759335	478	0.4734567094	6.348282337
0.6168875172	479	0.4744472046	6.341254711
0.6168990805	480	0.4754376998	6.336398602
0.6169106537	481	0.476428195	6.338939667
0.6169222286	482	0.4774186902	6.337123871
0.6169337982	483	0.4784091855	6.33825016
0.6169453763	484	0.4793996807	6.338178158
0.6169569509	485	0.4803901759	6.335220337
0.616968525	486	0.4813806711	6.336967468
0.6169800994	487	0.4823711663	6.33100462
0.6169916674	488	0.4833616615	6.327292442
0.6170032437	489	0.4843521567	6.328488827
0.6170148211	490	0.4853426519	6.325395107
0.617026391	491	0.4863331471	6.325453758
0.6170379712	492	0.4873236423	6.319615364
0.6170495359	493	0.4883141375	6.316183567
0.6170611104	494	0.4893046327	6.316708565
0.6170726899	495	0.490295128	6.312442303
0.6170842651	496	0.4912856232	6.309185028
0.6170958548	497	0.4922761184	6.306475639
0.617107415	498	0.4932666136	6.305242539
0.6171189972	499	0.4942571088	6.306747437
0.6171305632	500	0.495247604	6.304418087
0.6171421299	501	0.4962380992	6.304635525
0.6171537057	502	0.4972285944	6.305761814
0.617165284	503	0.4982190896	6.307138443
0.6171768597	504	0.4992095848	6.306951523
0.617188429	505	0.50020008	6.30857563
0.6172000078	506	0.5011905752	6.303606987
0.6172115814	507	0.5021810704	6.298560143
0.6172231534	508	0.5031715657	6.291221619
0.6172347234	509	0.5041620609	6.290110588
