Day fraction since midnight on	t (s)	photometer (mg/L)	photometer (volts)
0.6471745634	177	10.79719543	0.2452961355
0.6471861527	178	10.73687744	0.2557286918
0.6471976962	179	10.73263454	0.2564652562
0.6472092862	180	10.69004726	0.2638767362
0.6472208759	181	10.66433144	0.2683691084
0.647232419	182	10.64993858	0.2708889842
0.647244009	183	10.59624958	0.2803244889
0.6472555986	184	10.60332966	0.2790770233
0.6472671418	185	10.55482388	0.2876431346
0.6472787318	186	10.53707695	0.2907889485
0.6472903214	187	10.53821278	0.2905873656
0.6473018877	188	10.4887991	0.2993777096
0.6473134542	189	10.45284462	0.305803895
0.6473250439	190	10.41259098	0.3130291402
0.6473366105	191	10.35034943	0.324264586
0.6473481773	192	10.30898952	0.3317736685
0.647359767	193	10.1719265	0.3569056392
0.6473713336	194	10.12393951	0.3657952547
0.6473829001	195	10.09661293	0.3708787262
0.6473944664	196	10.11113262	0.3681757152
0.6474060792	197	10.02114773	0.3849973977
0.6474176226	198	9.984908104	0.3918194175
0.6474292126	199	9.901027679	0.4077154696
0.6474407789	200	9.856377602	0.4162374735
0.6474523454	201	9.846280098	0.4181706011
0.6474639354	202	9.774419785	0.4319905043
0.6474755017	203	9.804292679	0.4262319803
0.6474870685	204	9.755433083	0.4356602132
0.6474986351	205	9.723280907	0.4418924749
0.6475102475	206	9.662677765	0.4537001252
0.6475217913	207	9.589092255	0.4681439996
0.6475333579	208	9.541909218	0.4774677753
0.6475449476	209	9.522170067	0.4813829362
0.6475565141	210	9.503840447	0.4850260019
0.6475681035	211	9.482879639	0.4892014265
0.6475796703	212	9.447460175	0.4962787628
0.6475912369	213	9.449486733	0.4958730042
0.6476028263	214	9.433848381	0.4990061522
0.6476143932	215	9.348675728	0.5161651373
0.6476259594	216	9.320388794	0.5218997598
0.6476375494	217	9.280326843	0.5300524831
0.6476491159	218	9.243070602	0.5376667976
0.6476606822	219	9.182245255	0.5501660109
0.6476722722	220	9.142185211	0.5584442019
0.6476838618	221	9.147921562	0.5572564602
0.6476954284	222	9.161327362	0.5544838905
0.647706995	223	9.116897583	0.5636885762
0.6477185615	224	9.088705063	0.569552958
0.6477301281	225	9.060746193	0.5753868222
0.6477417177	226	8.966339111	0.5952196717
0.6477532843	227	8.921134949	0.6047899723
0.6477648509	228	8.984103203	0.5914719105
0.6477764175	229	8.922145844	0.6045754552
0.6477880068	230	8.856027603	0.6186584234
0.6477995734	231	8.783373833	0.6342529058
0.6478111633	232	8.756614685	0.6400284171
0.647822753	233	8.734729767	0.6447645426
0.6478342965	234	8.717095375	0.6485891342
0.6478458861	235	8.683249474	0.6559508443
0.6478574524	236	8.685063362	0.6555556059
0.6478690192	237	8.648664475	0.6635017395
0.6478806089	238	8.632851601	0.6669639945
0.6478921755	239	8.611654282	0.6716145277
0.647903742	240	8.563388825	0.6822444797
0.6479153314	241	8.552615166	0.6846249104
0.6479268983	242	8.514746666	0.6930151582
0.6479384645	243	8.48453331	0.6997343302
0.6479500311	244	8.466123581	0.7038397789
0.6479616211	245	8.447529793	0.7079946399
0.6479732104	246	8.333293915	0.7337097526
0.647984777	247	8.358394623	0.7280314565
0.6479963439	248	8.328926086	0.7346994877
0.6480079336	249	8.316010475	0.7376288176
0.648019477	250	8.255060196	0.7515095472
0.6480310667	251	8.262132645	0.7498940825
0.6480426563	252	8.182564735	0.768142283
0.6480541995	253	8.21117115	0.7615632415
0.6480657895	254	8.127336502	0.780903399
0.6480773791	255	8.105190277	0.7860425115
0.6480889457	256	8.081897736	0.7914612293
0.6481005123	257	8.074263573	0.7932402492
0.6481121016	258	7.98775816	0.8135046959
0.6481236454	259	8.015384674	0.8070117831
0.6481352351	260	7.992805958	0.8123169541
0.6481468247	261	7.938416481	0.8251507282
0.6481583913	262	7.892417431	0.8360652924
0.6481699577	263	7.991759777	0.8125630021
0.6481815476	264	7.832259655	0.8504237533
0.6481930907	265	7.80871582	0.8560693264
0.6482046803	266	7.774528503	0.8642933369
0.6482162472	267	7.758112907	0.8682533503
0.6482278366	268	7.727721691	0.8756037951
0.6482394034	269	7.67627573	0.8881030679
0.6482509697	270	7.695660114	0.8833850622
0.6482625597	271	7.624583244	0.9007343054
0.6482741262	272	7.627793312	0.8999478221
0.6482856925	273	7.60001564	0.9067629576
0.6482972821	274	7.53266716	0.9233739376
0.648308849	275	7.493706226	0.9330401421
0.6483204156	276	7.480365276	0.9363596439
0.6483320049	277	7.487527847	0.934576869
0.6483435718	278	7.446444511	0.9448220134
0.6483551615	279	7.421545982	0.9510537386
0.6483667162	280	7.37565136	0.9625858665
0.6483782831	281	7.374463081	0.9628851414
0.6483898727	282	7.345015526	0.9703164697
0.648401439	283	7.294028282	0.983240962
0.6484130056	284	7.253918648	0.9934597015
0.6484246186	285	7.225016117	1.000851393
0.6484361621	286	7.203833103	1.006283879
0.6484477284	287	7.151542187	1.019748926
0.6484593184	288	7.081284523	1.037963867
0.6484708846	289	7.082941055	1.037532687
0.648482463	290	7.075048924	1.039587379
0.6484940408	291	6.991351605	1.061487794
0.6485056308	292	6.993134975	1.061018944
0.648517197	293	7.025108814	1.052630305
0.6485287636	294	6.997839928	1.059782744
0.6485403535	295	6.959173679	1.069961667
0.6485518967	296	6.890477181	1.088154197
0.6485634864	297	6.852729797	1.098209858
0.6485750533	298	6.841076851	1.101322651
0.6485866429	299	6.844083309	1.100519061
0.6485982092	300	6.808538914	1.110035539
0.6486097758	301	6.804301262	1.111172557
0.6486213657	302	6.762928963	1.122301817
0.648632932	303	6.742896557	1.127709031
0.6486445217	304	6.689288616	1.14223814
0.6486560886	305	6.677116394	1.145549178
0.6486676551	306	6.657421112	1.15091598
0.6486792448	307	6.644895077	1.15433538
0.648690811	308	6.620332718	1.161054373
0.6487023776	309	6.607876301	1.164468765
0.6487139676	310	6.567169666	1.175659657
0.648725511	311	6.520201683	1.188634753
0.6487371007	312	6.507503986	1.192154169
0.6487486669	313	6.488445759	1.197445869
0.6487602569	314	6.539731979	1.183231235
0.6487718235	315	6.449579716	1.2082721
0.6487833901	316	6.433845043	1.2126683
0.6487949797	317	6.405666351	1.220560551
0.6488065463	318	6.410811424	1.219117641
0.6488181359	319	6.350702286	1.23602593
0.6488297022	320	6.293763638	1.252146483
0.6488412921	321	6.277107239	1.256881595
0.6488528584	322	6.282328129	1.255396485
0.6488644022	323	6.26904583	1.259176374
0.6488759919	324	6.285453796	1.254507661
0.6488875584	325	6.246224403	1.265684128
0.6488991481	326	6.226094246	1.271438003
0.6489107147	327	6.21666193	1.27413857
0.6489222812	328	6.146521568	1.29430902
0.6489338706	329	6.146661758	1.294268489
0.6489454375	330	6.079802036	1.313641787
0.6489570271	331	6.053175449	1.321397185
0.6489685706	332	6.0442276	1.324008584
0.6489801599	333	6.033677101	1.327090979
0.6489917499	334	6.033102512	1.327258945
0.6490032931	335	5.984259129	1.341576815
0.6490148831	336	5.973239422	1.344817877
0.6490264611	337	5.922227383	1.359872818
0.6490380277	338	5.898988247	1.366759539
0.6490496174	339	5.884414673	1.371087432
0.6490611839	340	5.84091711	1.384046316
0.6490727733	341	5.827800751	1.387966275
0.6490843402	342	5.855795384	1.379606724
0.6490959068	343	5.817756176	1.390972018
0.6491074964	344	5.80080843	1.396051168
0.649119063	345	5.76322937	1.407347322
0.6491306295	346	5.729541779	1.417513847
0.6491421958	347	5.723785877	1.41925478
0.6491537858	348	5.677070141	1.433425069
0.6491653523	349	5.655083656	1.440119624
0.6491769189	350	5.667656899	1.436289191
0.6491885086	351	5.663796425	1.437464833
0.6492000748	352	5.593380451	1.458994865
0.6492116648	353	5.59135437	1.4596169
0.6492232083	354	5.579157829	1.463364005
0.6492347979	355	5.584468365	1.461731792
0.6492463642	356	5.5148592	1.483202338
0.6492579542	357	5.504646778	1.486366272
0.6492695207	358	5.485389233	1.492342234
0.6492810874	359	5.443717003	1.505317688
0.6492926535	360	5.446042061	1.504592061
0.6493042435	361	5.400043964	1.518980503
0.64931581	362	5.360664368	1.53135705
0.6493273994	363	5.35091877	1.534428358
0.6493389663	364	5.324137688	1.542885423
0.6493505556	365	5.307011128	1.548306823
0.6493621225	366	5.269243717	1.560298681
0.6493736891	367	5.228029251	1.573442459
0.6493852787	368	5.245682716	1.567805171
0.6493968453	369	5.240414143	1.569486499
0.6494084119	370	5.198750019	1.582816601
0.6494199782	371	5.174259663	1.590680718
0.6494315678	372	5.174231529	1.590689778
0.6494431344	373	5.157444477	1.59609282
0.6494547013	374	5.148056984	1.59911859
0.6494662675	375	5.156197548	1.596494556
0.6494778805	376	5.142473698	1.600919724
0.649489424	377	5.098881245	1.615020514
0.6495009903	378	5.071901798	1.623781681
0.6495125803	379	5.040550709	1.633995414
0.6495241468	380	5.03390789	1.636164188
0.6495357365	381	5.01190424	1.643359304
0.6495473031	382	4.992415905	1.649746537
0.6495588927	383	4.963923931	1.659109592
0.649570459	384	4.959021092	1.660723686
0.6495820259	385	4.934686661	1.66874826
0.6495935925	386	4.914663792	1.675367355
0.6496051821	387	4.885516644	1.685028911
0.6496167486	388	4.866365433	1.69139421
0.6496283153	389	4.834750176	1.701931715
0.6496399048	390	4.835170746	1.701791287
0.6496514712	391	4.825946331	1.704872489
