Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6463326594	21.8019809723	-0.8505131006
0.6463442353	21.8503322601	-0.8529669046
0.6463558061	22.0497493744	-0.8629491329
0.6463673746	22.1099472046	-0.8659193516
0.6463789677	22.3144130707	-0.8758610487
0.6463905343	22.3624858856	-0.8781659603
0.6464021109	22.5825557709	-0.8885620236
0.6464136983	22.6274852753	-0.8906535506
0.6464252615	22.8317775726	-0.9000329971
0.6464368300	22.8908195496	-0.9027044177
0.6464483989	23.0922164917	-0.9116862416
0.6464599654	23.1390056610	-0.9137444496
0.6464715587	23.3591537476	-0.9232861996
0.6464831183	23.4121704102	-0.9255495071
0.6464946973	23.6192722321	-0.9342643023
0.6465062826	23.6701068878	-0.9363729954
0.6465178420	23.8662643433	-0.9443994164
0.6465294134	23.9202117920	-0.9465764165
0.6465409989	24.1419181824	-0.9553877115
0.6465525687	24.1867790222	-0.9571444392
0.6465641399	24.3942050934	-0.9651543498
0.6465757112	24.4499301910	-0.9672750831
0.6465872895	24.6297702789	-0.9740303755
0.6465988590	24.6895294189	-0.9762454033
0.6466104340	24.8837242126	-0.9833430648
0.6466220137	24.9451026917	-0.9855547547
0.6466336003	25.1246376038	-0.9919384122
0.6466451745	25.1882343292	-0.9941694140
0.6466567264	25.3585205078	-1.0000661612
0.6466683161	25.4330158234	-1.0026110411
0.6466798832	25.6149559021	-1.0087387562
0.6466914515	25.6807937622	-1.0109258890
0.6467030247	25.8392486572	-1.0161247253
0.6467146071	25.9344787598	-1.0192055702
0.6467261696	26.0652694702	-1.0233840942
0.6467377651	26.1571941376	-1.0262849331
0.6467493215	26.3173522949	-1.0312688351
0.6467609132	26.3974075317	-1.0337270498
0.6467724977	26.5313854218	-1.0377925634
0.6467840459	26.6358604431	-1.0409212112
0.6467956519	26.7523803711	-1.0443680286
0.6468071952	26.8467235565	-1.0471264124
0.6468187667	26.9776630402	-1.0509072542
0.6468303619	27.0694808960	-1.0535259247
0.6468419259	27.1878604889	-1.0568630695
0.6468534927	27.2808437347	-1.0594537258
0.6468650729	27.3890438080	-1.0624349117
0.6468766426	27.4912433624	-1.0652180910
0.6468882447	27.6130218506	-1.0684936047
0.6468997883	27.6974868774	-1.0707396269
0.6469113638	27.8031082153	-1.0735187531
0.6469229329	27.9117736816	-1.0763442516
0.6469345207	28.0154170990	-1.0790076256
0.6469460893	28.1173095703	-1.0815963745
0.6469576614	28.2234477997	-1.0842620134
0.6469692303	28.3198432922	-1.0866559744
0.6469808224	28.4137897491	-1.0889645815
0.6469923909	28.5174598694	-1.0914844275
0.6470039686	28.6100387573	-1.0937103033
0.6470155373	28.7105140686	-1.0961003304
0.6470271127	28.8004817963	-1.0982179642
0.6470386813	28.9021205902	-1.1005849838
0.6470502629	28.9822444916	-1.1024322510
0.6470618371	29.0858211517	-1.1047960520
0.6470734130	29.1693134308	-1.1066818237
0.6470849818	29.2732925415	-1.1090060472
0.6470965576	29.3521385193	-1.1107506752
0.6471081216	29.4526290894	-1.1129522324
0.6471197024	29.5352668762	-1.1147444248
0.6471312737	29.6253604889	-1.1166796684
0.6471428529	29.6900520325	-1.1180573702
0.6471544477	29.7966899872	-1.1203069687
0.6471660231	29.8789596558	-1.1220244169
0.6471775663	29.9687824249	-1.1238816977
0.6471891704	30.0482540131	-1.1255096197
0.6472007259	30.1447353363	-1.1274667978
0.6472122992	30.2042236328	-1.1286631823
0.6472238712	30.3157062531	-1.1308840513
0.6472354452	30.3837318420	-1.1322257519
0.6472470146	30.4606704712	-1.1337311268
0.6472586046	30.5357456207	-1.1351877451
0.6472701761	30.6168479919	-1.1367477179
0.6472817516	30.6816539764	-1.1379841566
0.6472933180	30.7634334564	-1.1395318508
0.6473048912	30.8205242157	-1.1406040192
0.6473164668	30.9069976807	-1.1422151327
0.6473280466	30.9872093201	-1.1436958313
0.6473396212	31.0567550659	-1.1449689865
0.6473511986	31.1299877167	-1.1462991238
0.6473627722	31.2154960632	-1.1478385925
0.6473743418	31.2865161896	-1.1491061449
0.6473859113	31.3513145447	-1.1502540112
0.6473974864	31.4173851013	-1.1514159441
0.6474090636	31.4934825897	-1.1527436972
0.6474206296	31.5534420013	-1.1537820101
0.6474322282	31.6245651245	-1.1550047398
0.6474437789	31.6890373230	-1.1561048031
0.6474553741	31.7629318237	-1.1573560238
0.6474669312	31.8335800171	-1.1585427523
0.6474785008	31.9010124207	-1.1596667767
0.6474901034	31.9562225342	-1.1605808735
0.6475016571	32.0547943115	-1.1621990204
0.6475132248	32.1090431213	-1.1630820036
0.6475247973	32.1717414856	-1.1640959978
0.6475363677	32.2350692749	-1.1651129723
0.6475479433	32.2992401123	-1.1661362648
0.6475595376	32.3773498535	-1.1673721075
0.6475710890	32.4358329773	-1.1682903767
0.6475826892	32.5062904358	-1.1693887711
0.6475942377	32.5742988586	-1.1704409122
0.6476058456	32.6475334167	-1.1715650558
0.6476173928	32.7042274475	-1.1724290848
0.6476289604	32.7634429932	-1.1733257771
0.6476405373	32.8254776001	-1.1742588282
0.6476521163	32.8838691711	-1.1751312017
0.6476636939	32.9383773804	-1.1759405136
0.6476752565	33.0022888184	-1.1768832207
0.6476868482	33.0583000183	-1.1777039766
0.6476984044	33.1015205383	-1.1783337593
0.6477099924	33.1735992432	-1.1793774366
0.6477215635	33.2393379211	-1.1803220510
0.6477331435	33.3051986694	-1.1812615395
0.6477447014	33.3471832275	-1.1818568707
0.6477562849	33.4246444702	-1.1829479933
0.6477678622	33.4575538635	-1.1834087372
0.6477794353	33.5383834839	-1.1845332384
